date,country,new_cases,new_deaths,new_recoveries,cumulative_cases,cumulative_deaths
2020-01-01,USA,272550,3572,255469,272550,3572
2020-01-02,USA,266674,3495,249962,539224,7067
2020-01-03,USA,254904,3336,238929,794128,10403
2020-01-04,USA,272437,3568,255363,1066565,13971
2020-01-05,USA,263200,3446,246705,1329765,17417
2020-01-06,USA,267265,3501,250516,1597030,20918
2020-01-07,USA,281181,3683,263560,1878211,24601
2020-01-08,USA,255010,3334,239029,2133221,27935
2020-01-09,USA,261459,3423,245073,2394680,31358
2020-01-10,USA,282111,3695,264431,2676791,35053
2020-01-11,USA,279474,3657,261960,2956265,38710
2020-01-12,USA,303160,3971,284161,3259425,42681
2020-01-13,USA,288794,3779,270695,3548219,46460
2020-01-14,USA,284911,3729,267056,3833130,50189
2020-01-15,USA,333320,4367,312431,4166450,54556
2020-01-16,USA,310973,4070,291485,4477423,58626
2020-01-17,USA,319526,4185,299502,4796949,62811
2020-01-18,USA,299374,3917,280612,5096323,66728
2020-01-19,USA,317305,4159,297420,5413628,70887
2020-01-20,USA,331814,4344,311019,5745442,75231
2020-01-21,USA,314529,4119,294818,6059971,79350
2020-01-22,USA,343778,4502,322234,6403749,83852
2020-01-23,USA,330845,4334,310111,6734594,88186
2020-01-24,USA,339657,4445,318371,7074251,92631
2020-01-25,USA,337744,4423,316578,7411995,97054
2020-01-26,USA,384272,5031,360190,7796267,102085
2020-01-27,USA,354873,4644,332633,8151140,106729
2020-01-28,USA,339504,4448,318228,8490644,111177
2020-01-29,USA,376623,4931,353020,8867267,116108
2020-01-30,USA,342678,4488,321203,9209945,120596
2020-01-31,USA,371942,4871,348633,9581887,125467
2020-02-01,USA,334793,4383,313812,9916680,129850
2020-02-02,USA,349304,4578,327413,10265984,134428
2020-02-03,USA,380776,4986,356913,10646760,139414
2020-02-04,USA,393922,5155,369235,11040682,144569
2020-02-05,USA,385921,5053,361736,11426603,149622
2020-02-06,USA,383077,5017,359070,11809680,154639
2020-02-07,USA,382041,5004,358099,12191721,159643
2020-02-08,USA,361508,4732,338853,12553229,164375
2020-02-09,USA,378628,4960,354900,12931857,169335
2020-02-10,USA,385971,5051,361783,13317828,174386
2020-02-11,USA,418282,5480,392069,13736110,179866
2020-02-12,USA,406261,5317,380801,14142371,185183
2020-02-13,USA,366031,4793,343092,14508402,189976
2020-02-14,USA,409877,5370,384190,14918279,195346
2020-02-15,USA,397361,5204,372459,15315640,200550
2020-02-16,USA,393112,5149,368476,15708752,205699
2020-02-17,USA,420999,5514,394615,16129751,211213
2020-02-18,USA,431160,5649,404140,16560911,216862
2020-02-19,USA,430594,5641,403609,16991505,222503
2020-02-20,USA,395424,5177,370643,17386929,227680
2020-02-21,USA,407548,5338,382007,17794477,233018
2020-02-22,USA,421920,5522,395479,18216397,238540
2020-02-23,USA,436330,5714,408986,18652727,244254
2020-02-24,USA,406931,5330,381429,19059658,249584
2020-02-25,USA,413819,5419,387885,19473477,255003
2020-02-26,USA,395222,5176,370454,19868699,260179
2020-02-27,USA,393869,5157,369186,20262568,265336
2020-02-28,USA,436418,5717,409068,20698986,271053
2020-02-29,USA,448188,5869,420101,21147174,276922
2020-03-01,USA,418450,5479,392226,21565624,282401
2020-03-02,USA,441172,5779,413524,22006796,288180
2020-03-03,USA,427711,5598,400907,22434507,293778
2020-03-04,USA,406482,5324,381008,22840989,299102
2020-03-05,USA,427428,5595,400642,23268417,304697
2020-03-06,USA,451811,5919,423497,23720228,310616
2020-03-07,USA,418395,5478,392175,24138623,316094
2020-03-08,USA,451395,5911,423107,24590018,322005
2020-03-09,USA,363275,4758,340509,24953293,326763
2020-03-10,USA,434478,5686,407250,25387771,332449
2020-03-11,USA,418332,5477,392116,25806103,337926
2020-03-12,USA,409397,5363,383741,26215500,343289
2020-03-13,USA,416508,5456,390406,26632008,348745
